Sample ID,ADF,AD-ICP,Adj_CP,aNDFom,Ash,Crude protein,DCAD,Dry Matter,EE Fat,Lignin,NEG OARDC,NEL3x ADF,NEL3x OARDC,NEM OARDC,NFC,SPCP,Starch,TDN OARDC,WSC Sugar,Cellulose,Hemicellulose
SF16-BE-r1-p0511,39.06,0.61,9.84,66.63,3.48,7.14,19.76,91.53,1,4.91,30.82,72.83,59.56,55.09,21.54,43.09,0.21,66.71,14.93,34.15,30.05
SF16-BE-r1-p0515,29.78,0.54,5.75,55.11,3.26,5.69,26.27,91.15,0.86,6.12,34.21,69.21,61.94,59.54,35.66,61.36,0.48,64.4,24.37,23.66,26.84
SF16-BE-r1-p0519,46.11,0.7,12.04,72.64,2.19,9.66,14.17,92.64,1.01,5.88,28.04,69.03,56.91,51.78,14.93,58.38,0.67,62.3,8.79,40.23,28.39
SF16-BE-r1-p0523,35.97,0.47,7.64,61.86,3.23,7.21,24.89,91.57,0.89,5.06,32.29,67.25,61.51,57.26,27.63,68.11,0.35,63.95,17.48,30.91,27.94
SF16-BE-r1-p0527,31.01,0.46,9.83,54.2,2.65,8.52,25.98,91.41,0.85,5.11,35.97,70.2,64.21,62.6,33.69,92.21,0.76,65.4,22.8,25.9,25.13
SF16-BE-r1-p0531,45.25,0.81,10.06,70.61,3.13,4.55,7.52,90.94,1.1,6.71,25.78,87.66,55.04,49.27,18.78,-19.66,-0.11,67.8,10.31,38.54,27.7
SF16-BE-r1-p0543,30.91,0.58,5.5,55.95,2.36,3.84,12.93,92.97,0.8,4.77,36.28,67.65,65.43,62.69,39.65,12.02,0.97,64.07,32.03,26.14,26.25
SF16-BE-r1-p0547,41.9,0.53,6.21,66.95,3.1,5.48,18.89,92.93,0.86,7.78,24.31,61.67,55.33,48.05,24.91,42.96,0.6,56.91,14.87,34.12,26.69
SF16-BE-r1-p0551,39.89,0.52,6.01,66.71,2.19,4.67,20.04,91.72,0.92,6.19,29.26,72.04,58.86,52.12,26.26,25.03,0.06,65.03,14.93,33.7,29.09
SF16-BE-r1-p0555,37.79,0.57,7.38,63.65,3.28,5.87,19.87,91.66,0.92,6.45,29.11,67.67,58.28,53.12,26.87,31.76,0.51,63.29,18.45,31.34,27.53
SF16-BE-r1-p0559,38.08,0.6,7.45,65.5,3.05,5.2,22.93,91.41,0.96,6.25,29.38,74.68,58.38,52.62,24.8,25.98,0.01,65.72,15.19,31.83,29.84
SF16-BE-r1-p0563,44.63,0.76,12.81,69.87,1.99,7.18,1.56,90.85,1.13,6.54,28.41,92.24,56.66,51.53,17.56,16.01,0.17,72.5,9.54,38.09,28.26
SF16-BE-r1-p0567,36.94,0.63,6.37,62.78,2.98,5.31,22.93,91.23,0.95,7.31,28.93,70.87,57.51,52.91,30.87,40.75,0,60.27,17.48,29.63,28.08
SF16-BE-r1-p0571,37.97,0.51,6.92,64.9,2.96,6.64,25.18,91.98,0.89,5.1,31.76,65.89,60.91,55.98,25.13,56.87,0.45,62.2,15.39,32.87,28.79
